volatile_acidity,free_sulfur_dioxide,total_sulfur_dioxide,pH,sulphates,alcohol,quality
0.49,14.0,25.0,3.35,0.63,12.0,6.0
0.43,10.0,48.0,3.34,0.46,9.4,5.0
0.46,32.0,58.0,3.33,0.54,9.8,5.0
0.39,14.0,27.0,3.06,0.84,11.4,6.0
0.12,10.0,21.0,3.41,0.76,11.9,7.0
0.63,51.0,77.5,3.2,0.45,9.5,5.0
0.55,15.0,34.0,3.49,0.68,10.5,5.0
0.35,46.0,102.0,3.27,0.58,9.5,5.0
0.45,21.0,75.0,3.35,0.57,9.7,5.0
0.685,6.0,31.0,3.19,0.7,10.1,6.0
0.33,6.0,9.0,3.1,0.48,10.4,6.0
0.76,18.0,64.0,2.9,1.33,9.1,6.0
0.44,22.0,53.0,3.32,0.62,9.3,5.0
0.38,30.0,119.0,3.2,0.56,9.4,5.0
0.96,5.0,16.0,3.5,0.44,11.9,6.0
0.18,15.0,58.0,3.37,0.78,11.8,6.0
0.715,7.0,62.0,3.62,0.61,11.0,5.0
0.32,12.0,19.0,3.14,0.71,11.8,7.0
0.62,27.0,90.0,3.16,0.7,9.4,5.0
0.66,21.0,31.0,3.45,0.63,10.3,5.0
0.46,18.0,77.0,3.15,0.51,9.4,5.0
0.68,15.0,29.0,3.41,0.52,11.1,4.0
0.32,17.0,44.0,3.28,0.77,11.5,6.0
0.56,7.0,28.0,3.37,0.5,9.4,6.0
0.58,9.0,104.0,3.23,0.57,9.7,5.0
0.43,14.0,23.0,3.35,0.61,11.3,6.0
0.52,13.0,26.0,3.4,0.72,12.5,7.0
0.18,36.0,109.0,2.89,0.44,12.7,6.0
0.52,13.0,38.0,3.34,0.52,9.3,5.0
0.12,10.0,21.0,3.41,0.76,11.9,7.0
0.38,10.0,41.0,3.17,0.68,9.8,6.0
0.38,13.0,30.0,3.23,0.73,9.7,7.0
0.24,3.0,10.0,3.12,0.59,9.5,6.0
0.48,13.0,32.0,3.28,0.56,10.0,6.0
0.54,8.0,17.0,3.2,0.72,13.1,8.0
0.685,20.0,84.0,3.21,0.61,9.3,5.0
0.38,5.0,13.0,3.15,0.75,10.5,6.0
0.54,5.0,13.0,3.72,0.58,11.4,5.0
0.28,5.0,19.0,3.25,0.63,9.5,5.0
0.43,27.0,51.0,3.49,0.64,10.4,5.0
0.49,13.0,50.0,3.16,0.69,9.2,6.0
0.69,19.0,27.0,3.44,0.67,9.8,5.0
0.59,34.0,53.0,3.41,0.67,9.7,5.0
0.66,16.0,53.0,3.06,0.72,11.0,6.0
0.6,28.0,71.0,3.5,0.57,9.7,5.0
0.59,13.0,49.0,3.18,0.65,11.0,6.0
0.51,4.0,9.0,3.35,0.54,10.5,5.0
0.39,17.0,35.0,3.1,0.61,10.8,6.0
0.735,10.0,41.0,3.24,0.71,9.8,6.0
0.47,24.0,125.0,3.31,0.61,9.4,5.0
0.47,7.0,14.0,3.4,0.58,10.9,4.0
0.63,15.0,64.0,3.46,0.79,9.3,5.0
0.38,15.0,25.0,3.44,0.65,11.1,6.0
0.6,24.0,37.0,3.4,0.61,10.9,6.0
0.6,31.0,131.0,3.21,0.52,9.9,5.0
0.35,20.0,88.0,3.15,0.43,9.4,5.0
0.4,17.0,29.0,3.12,0.65,11.2,6.0
0.56,16.0,44.0,3.13,0.52,11.0,5.0
0.48,29.0,61.0,3.34,0.6,10.4,5.0
0.57,26.0,120.0,3.29,0.53,9.3,5.0
0.36,10.0,41.0,3.23,0.66,12.5,6.0
0.3,37.5,278.0,3.01,0.51,12.3,7.0
0.5,15.0,143.0,3.2,0.55,9.5,5.0
0.31,22.0,46.0,3.32,0.67,9.7,6.0
0.31,11.0,25.0,3.36,0.76,10.1,6.0
0.31,15.0,28.0,3.42,0.7,10.0,7.0
0.6,20.0,110.0,3.3,1.17,10.2,5.0
0.685,3.0,12.0,3.31,0.65,9.55,6.0
0.6,7.0,13.0,3.38,0.56,10.8,5.0
0.66,6.0,13.0,3.43,0.58,9.5,5.0
0.27,28.0,46.0,3.2,0.8,10.2,6.0
0.44,15.0,38.0,3.01,1.1,9.4,5.0
0.59,20.0,47.0,3.26,0.67,9.6,5.0
0.67,10.0,24.0,3.42,0.72,11.1,6.0
0.78,12.0,66.0,3.0,1.17,9.2,5.0
0.82,26.0,96.0,3.36,0.53,10.0,5.0
0.36,3.0,8.0,3.2,0.53,11.9,6.0
0.58,34.0,44.0,3.1,0.43,9.3,5.0
0.4,5.0,12.0,3.34,0.56,9.2,5.0
0.795,28.0,52.0,3.49,0.52,11.6,5.0
0.38,12.0,42.0,3.16,0.61,10.3,5.0
0.4,11.0,43.0,3.53,0.61,10.5,6.0
0.315,3.0,6.0,3.27,0.67,11.9,6.0
0.73,12.0,24.0,3.38,0.46,9.6,4.0
0.84,32.0,48.0,3.52,0.56,12.3,7.0
0.5,3.0,22.0,3.25,0.63,9.2,5.0
0.42,9.0,34.0,3.24,0.77,12.1,7.0
0.41,12.0,25.0,3.34,0.79,13.3,7.0
0.49,20.0,136.0,2.93,1.95,9.9,6.0
0.22,1.0,28.0,3.41,0.87,10.3,6.0
0.8,6.0,12.0,3.52,0.5,12.2,5.0
0.34,3.0,7.0,3.19,0.55,11.4,7.0
0.49,14.0,25.0,3.35,0.63,12.0,6.0
0.18,45.0,88.0,3.33,0.76,11.8,7.0
0.52,8.0,38.0,3.58,0.61,10.5,6.0
0.52,11.0,39.0,3.42,0.58,9.6,5.0
0.68,16.0,51.0,3.38,0.52,9.5,5.0
0.24,25.0,57.0,3.39,0.54,9.2,5.0
0.42,18.0,36.0,3.39,0.56,10.9,5.0
0.675,4.0,11.0,3.31,0.65,9.55,5.0
0.39,10.0,29.0,3.26,0.74,9.8,5.0
0.4,6.0,19.0,3.27,0.82,11.7,7.0
0.29,5.0,13.0,3.05,0.74,10.5,7.0
0.53,3.0,19.0,3.16,0.46,9.8,5.0
0.37,6.0,16.0,3.09,0.8,9.3,5.0
0.49,16.0,37.0,3.37,0.51,10.5,5.0
0.32,17.0,56.0,3.04,1.08,9.2,6.0
0.35,5.0,14.0,3.26,0.79,10.6,5.0
0.24,11.0,25.0,3.32,0.87,8.7,6.0
0.41,25.0,101.0,3.13,0.53,10.0,5.0
0.16,24.0,52.0,3.34,0.71,11.2,6.0
0.58,28.0,109.0,3.08,0.49,9.8,6.0
0.4,10.0,47.0,3.38,0.77,10.5,7.0
0.39,5.0,11.0,3.19,0.46,11.4,5.0
0.59,35.0,73.0,3.28,0.7,9.5,6.0
0.6,16.0,34.0,3.47,0.7,9.9,6.0
0.28,17.0,60.0,3.16,0.58,9.8,6.0
0.63,6.0,26.0,3.07,0.6,10.4,4.0
0.35,10.0,37.0,3.32,0.91,11.0,6.0
0.5,5.0,14.0,3.29,0.52,10.7,6.0
0.57,4.0,11.0,3.44,0.76,10.8,6.0
0.315,5.0,15.0,2.98,0.7,9.2,6.0
0.46,12.0,35.0,3.1,0.56,9.0,6.0
0.74,16.0,46.0,4.01,0.59,12.5,6.0
0.56,14.0,46.0,3.24,0.66,9.6,6.0
0.46,7.0,18.0,3.32,0.79,14.0,6.0
0.47,27.0,66.0,3.17,0.76,10.8,6.0
0.88,23.0,47.0,3.58,0.5,11.2,4.0
0.31,12.0,96.0,3.32,0.58,9.2,5.0
0.62,5.0,12.0,3.17,0.48,9.8,5.0
0.68,32.0,54.0,3.51,0.66,11.3,6.0
0.41,22.0,36.0,3.41,0.75,11.1,6.0
0.56,12.0,47.0,3.19,0.93,9.5,5.0
0.61,36.0,60.0,3.1,0.4,9.3,5.0
0.78,33.0,45.0,3.31,0.62,10.7,6.0
0.67,26.0,42.0,3.39,0.82,10.9,6.0
0.715,10.0,38.0,3.31,0.64,9.4,5.0
0.37,23.0,49.0,3.28,0.67,9.3,5.0
0.53,6.0,14.0,3.05,0.74,11.5,7.0
0.36,26.0,72.0,3.39,0.68,11.0,5.0
0.36,6.0,18.0,3.04,1.05,9.4,5.0
0.68,17.0,26.0,3.45,0.53,9.5,5.0
0.58,23.0,94.0,3.21,0.58,9.5,6.0
0.48,10.0,28.0,3.33,0.67,11.2,7.0
0.61,10.0,42.0,3.19,0.59,9.5,5.0
0.52,8.0,15.0,3.4,0.63,9.4,6.0
0.36,24.0,44.0,3.4,0.85,11.0,7.0
0.56,12.0,47.0,3.19,0.93,9.5,5.0
0.58,34.0,124.0,3.44,0.48,10.5,5.0
0.28,4.0,10.0,3.33,0.7,12.8,7.0
0.46,18.0,34.0,3.39,0.6,10.6,6.0
0.675,17.0,82.0,3.35,0.54,10.1,5.0
0.955,5.0,19.0,3.3,0.44,9.6,4.0
0.57,12.0,45.0,3.31,0.6,9.4,6.0
0.56,36.0,46.0,3.53,0.57,10.6,5.0
0.48,31.0,54.0,3.3,0.65,10.0,7.0
0.32,3.0,8.0,3.15,0.73,11.4,6.0
0.54,7.0,60.0,2.94,0.98,10.2,5.0
0.25,45.0,67.0,3.44,0.86,10.2,7.0
0.75,11.0,18.0,3.39,0.4,12.8,6.0
0.39,14.0,24.0,3.45,0.87,11.2,7.0
0.63,17.0,88.0,3.53,0.58,9.8,6.0
0.51,13.0,31.0,3.36,0.54,10.5,6.0
1.02,41.0,85.0,3.75,0.48,10.5,4.0
0.39,34.0,60.0,3.46,0.78,9.9,5.0
0.32,17.0,44.0,3.28,0.77,11.5,6.0
0.44,38.0,76.0,3.17,0.85,12.0,7.0
0.43,15.0,28.0,3.35,0.81,10.6,6.0
0.63,14.0,38.0,3.37,0.58,9.0,6.0
0.46,18.0,34.0,3.39,0.6,10.6,6.0
0.32,15.0,47.0,3.05,0.61,10.6,5.0
0.53,6.0,25.0,3.12,0.59,9.3,6.0
0.5,5.0,14.0,3.19,0.44,9.6,5.0
0.39,23.0,149.0,3.12,0.5,11.5,6.0
0.54,12.0,78.0,3.39,0.71,11.0,5.0
0.42,7.0,21.0,3.26,0.93,11.8,6.0
0.19,57.0,135.0,3.32,0.44,9.5,5.0
0.63,11.0,44.0,3.47,0.55,10.4,6.0
0.4,10.0,47.0,3.38,0.77,10.5,7.0
0.82,5.0,14.0,3.36,0.53,9.6,5.0
0.66,9.0,59.0,3.28,0.54,9.6,5.0
0.58,5.0,14.0,3.21,1.03,11.6,6.0
0.635,16.0,33.0,3.58,0.69,10.8,7.0
0.34,20.0,78.0,3.19,0.7,10.0,6.0
0.61,11.0,50.0,3.4,0.61,10.2,6.0
0.49,27.0,85.0,3.41,0.58,9.0,5.0
0.38,6.0,10.0,3.12,0.65,11.8,7.0
0.39,21.0,101.0,3.13,0.51,9.5,5.0
0.645,15.0,28.0,3.78,0.61,12.5,6.0
0.41,11.0,37.0,3.16,0.67,10.8,5.0
0.49,5.0,15.0,3.19,0.43,9.2,5.0
0.9,9.0,17.0,3.5,0.63,10.9,6.0
0.51,12.0,27.0,3.33,0.59,12.8,6.0
0.24,8.0,22.0,3.22,0.94,10.9,6.0
0.67,17.0,96.0,3.32,0.48,9.5,5.0
0.31,36.0,127.0,2.94,1.62,9.5,5.0
0.61,25.0,87.0,3.24,0.62,9.7,5.0
0.885,6.0,12.0,3.56,0.51,10.8,5.0
0.64,11.0,119.0,3.36,0.7,10.9,5.0
0.67,17.0,34.0,3.28,0.98,9.9,6.0
